ObjDokNr;Ortsteil;Bezirk;Denkmalart;EnsembleStatus;Adresse;Zugehˆrigkeit;Architekt/K¸nstler;WeitereInformationen;Beschreibung;Datierung;Eintragung
9020353;CHA-WIL/WESTE-E;Charlottenburg-Wilmersdorf;Ensemble;Haupt;Badenallee 29-30;Baudenkmal siehe: Badenallee 30.;NA;NA;Wohnh‰user;NA;Nach 1995
9020354;CHA-WIL/WESTE-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Badenallee 29;;Paul G. R. Baumgarten ;NA;Haus H¸bner;1938-39;Nach 1995
9011386;CHA-WIL/WILMD-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Binger Straﬂe 10-16, 18-23, 66-72, 75-77A, Eberbacher Straﬂe 17-21, 24, 26-31, Homburger Straﬂe 45, 49-54, Johannisberger Straﬂe 12-14, 17-22, Nauheimer Straﬂe 41-41A, 46-46A, Schlangenbader Straﬂe 77-81, 84-92, Wiesbadener Straﬂe 41-49;Gesamtanlage siehe: Binger Straﬂe 75-77A.audenkmal siehe: Binger Straﬂe 10-15.;NA;NA;Wohnblˆcke;NA;Nach 1995
9011627;CHA-WIL/WILMD-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Binger Straﬂe 16 / Homburger Straﬂe 49/53 / Schlangenbader Straﬂe 84;;Alfred Gerschel ;NA;Wohnblock;1930;Nach 1995
9011630;CHA-WIL/WILMD-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Binger Straﬂe 18-20 / Eberbacher Straﬂe 24/30 / Schlangenbader Straﬂe 80-81;;Heinz Stoffregen ;NA;Wohnblock;1928;Nach 1995
9011628;CHA-WIL/WILMD-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Binger Straﬂe 21-23 / Eberbacher Straﬂe 27/31 / Schlangenbader Straﬂe 77-79 / Wiesbadener Straﬂe 45-49;;Mebes & Emmerich ;NA;Wohnblock;1926-27;Nach 1995
9011629;CHA-WIL/WILMD-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Binger Straﬂe 66-68 / Eberbacher Straﬂe 17/21 / Johannisberger Straﬂe 19-22 / Wiesbadener Straﬂe 41-44;;Erich Bohne ;NA;Wohnblock;1928-29;Nach 1995
9011631;CHA-WIL/WILMD-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Binger Straﬂe 69-72 / Eberbacher Straﬂe 18/20 / Homburger Straﬂe 45 / Johannisberger Straﬂe 17-18A;;Alfred Gerschel ;NA;Wohnblock;1929-30;Nach 1995
9046400;CHA-WIL/GRUNE-E;Charlottenburg-Wilmersdorf;Ensemble;Haupt;Bismarckallee 19A, 21B-D, 23, Herthastraﬂe 3/5;"Baudenkmale siehe: Bismarckallee 19A...; Herthastraﬂe 5.";NA;NA;Palais Mendelssohn, Landhausanlage und Gasleuchten im Straﬂenraum;NA;Nach 1995
9046401;CHA-WIL/GRUNE-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Palais, 1896-98 von Ernst von Ihne;;Ernst von Ihne; Umbauten nach 1945 ;Palais;1896-98 und 1945;Nach 1995
9020356;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Haupt;Bismarckstraﬂe 109-110, Am Schillertheater 2/4, Schillerstraﬂe 9;Baudenkmal siehe: Bismarckstraﬂe 110.;NA;NA;Theater und Gesch‰ftshaus;NA;Nach 1995
9020357;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Bismarckstraﬂe 109 / Am Schillertheater 2;;Kurt Enderlein ;NA;Haus der Wirtschaft, B¸ro- und Gesch‰ftshaus;1952-53;Nach 1995
9097799;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Am Schillertheater 4;;Eduard Ludwig ;NA;B¸ro- und Gesch‰ftshaus;1958-59;Nach 1995
9020359;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Bleibtreustraﬂe 15-17, 19-20, 40-43, Knesebeckstraﬂe 24-25, 33-34, 68-69, Mommsenstraﬂe 1-6, 64-68, 69-70, Schl¸terstraﬂe 51;"Gesamtanlage siehe: Bleibtreustraﬂe 43 / Knesebeckstraﬂe 24-25.audenkmale siehe: Bleibtreustraﬂe 15-16; 17; 20; 40; 42; Knesebeckstraﬂe 33-34; Mommsenstraﬂe 5; 6; 66.";NA;NA;Mietsh‰user, Schule;NA;Nach 1995
9020369;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Bleibtreustraﬂe 19;;Gustav Paulsen ;NA;Mietshaus, L‰den;1902-03;Nach 1995
9020370;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Bleibtreustraﬂe 41 / Mommsenstraﬂe;;Bernhard Hellwag ;NA;Mietshaus, L‰den, Gastst‰tte;1897-98;Nach 1995
9020371;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Knesebeckstraﬂe 68-69;;O. Herold ;NA;Mietshaus;1903-04;Nach 1995
9020372;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Mommsenstraﬂe 1;;Bernhard Hellwag ;NA;Mietshaus, L‰den;1898-99;Nach 1995
9020373;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Mommsenstraﬂe 2;;Johannes Mathiesen ;NA;Mietshaus, L‰den;1898;Nach 1995
9020374;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Mommsenstraﬂe 3;;Gustav B‰hr ;NA;Mietshaus, L‰den;1897-98;Nach 1995
9020375;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Mommsenstraﬂe 4;;Bernhard Hellwag ;NA;Mietshaus, L‰den;1898-99;Nach 1995
9020376;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Mommsenstraﬂe 64 / Schl¸terstraﬂe 51;;August Hoffmann ;NA;Mietshaus, L‰den;1901-02;Nach 1995
9020377;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Mommsenstraﬂe 65;;Ludwig Bosse ;NA;Mietshaus;1901-02;Nach 1995
9020378;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Mommsenstraﬂe 67;;Carl Fritz ;NA;Mietshaus;1904-05;Nach 1995
9020379;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Mommsenstraﬂe 68;;Carl Fritz ;NA;Mietshaus;1902-03;Nach 1995
9020380;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Mommsenstraﬂe 69;;Carl Fritz ;NA;Mietshaus;1901-02;Nach 1995
9020381;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Mommsenstraﬂe 70;;Wilhelm Lagotz ;NA;Mietshaus;1899-1900;Nach 1995
9040104;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Breitscheidplatz, Budapester Straﬂe 38/50, 45, Hardenbergplatz 2, Hardenbergstraﬂe 29, 29A, D, Kurf¸rstendamm 234-237, Kantstraﬂe 1, 165, Rankestraﬂe 1-1A, 36, Tauentzienstraﬂe 9, 13, 13A;"Gesamtanlagen siehe: Breitscheidplatz; Budapester Straﬂe 38/50.audenkmale siehe: Kurf¸rstendamm 234; 236; 237; Tauentzienstraﬂe 9; 13.";NA;NA;Breitscheidplatz, Wiederaufbaugebiet ÑRund um den Zooì, (City-West), Kirche, B¸ro- und Gesch‰ftsh‰user, Kinos;NA;Nach 1995
9040105;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Breitscheidplatz;;Krusnik & Reith (Architekten); Joachim Schmettau (Bildhauer) ;Brunnenanlage (Weltkugelbrunnen) mit Treppen, CafÈ und L‰den;1981-83;Nach 1995
9040106;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Kurf¸rstendamm 235;;Graaf; Schweger und Partner ;Berolina-Haus, Wohn- und Gesch‰ftshaus;1983-86;Nach 1995
9040163;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Tauentzienstraﬂe 13A;;G. Schnitger ;NA;Mietshaus;1893-94;Nach 1995
9020382;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Christstraﬂe 1, 4-5, 7-10, 33-43, Danckelmannstraﬂe 10-11, 13-21, 41-51, Knobelsdorffstraﬂe 17-22, 24/50, Nehringstraﬂe 1-6, 13, 34, Neufertstraﬂe 4-14, 16, Seelingstraﬂe 3-23, 24/26, 29/39, 42-49, 51-54, 56-60, Sophie-Charlotten-Straﬂe 88-89;"Baudenkmale siehe: Christstraﬂe 33; 34; 35; 36; 37; 39; 40; Danckelmannstraﬂe 10; 21; 41; 46-47; Nehringstraﬂe 1; 3; 3A; Sophie-Charlotten-Straﬂe 88.";NA;NA;Mietsh‰user, Ledigenheim, Gasleuchten im Straﬂenraum;NA;Nach 1995
9020383;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Christstraﬂe 1 / Nehringstraﬂe;;Louis Mittelmeyer ;NA;Mietshaus, L‰den;1888-89;Nach 1995
9020384;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Christstraﬂe 4;;F. Mair Rolph ;NA;Mietshaus;1873-74;Nach 1995
9020385;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Christstraﬂe 5;;Ernst George ;NA;Mietshaus;1873-74;Nach 1995
9020386;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Christstraﬂe 7;;Carl Weithaase ;NA;Mietshaus, L‰den;1901-02;Nach 1995
9020387;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Christstraﬂe 8;;Ernst George ;NA;Mietshaus, L‰den;1887-88;Nach 1995
9020388;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Christstraﬂe 8A;;Alfred Schrobsdorff ;NA;Mietshaus, L‰den;1902;Nach 1995
9020389;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Christstraﬂe 9;;F. Mair Rolph ;NA;Mietshaus;1873-74;Nach 1995
9020390;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Christstraﬂe 10;;Ernst George ;NA;Mietshaus;1873-74;Nach 1995
9020391;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Christstraﬂe 38;;Robert Thiele ;NA;Mietshaus, L‰den;1900-01;Nach 1995
9035427;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Christstraﬂe 39;;NA;NA;Garagenhof mit Werkstattbau;1913-20;Nach 1995
9020392;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Christstraﬂe 41;;Ernst George;" Umbau 1928 von Ludwig Kremmer; Umbau 1964 ";Mietshaus;1873 und 1928 und 1964;Nach 1995
9020393;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Christstraﬂe 42;;Franz Kemnitz ;NA;Mietshaus, L‰den;1889-90;Nach 1995
9020394;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Danckelmannstraﬂe 11 / Seelingstraﬂe 42;;Alfred Schrobsdorff ;NA;Mietshaus, L‰den;1887-88;Nach 1995
9020395;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Danckelmannstraﬂe 13;;Georges Heinecke ;NA;Mietshaus, L‰den;1890;Nach 1995
9020396;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Danckelmannstraﬂe 14;;Bernd Schmidt ;NA;Mietshaus, L‰den;1891-92;Nach 1995
9020397;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Danckelmannstraﬂe 15;;Ross & Heinecke ;NA;Mietshaus, L‰den;1892-93;Nach 1995
9020398;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Danckelmannstraﬂe 16;;H. Enders ;NA;Mietshaus, L‰den;1902-04;Nach 1995
9020399;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Danckelmannstraﬂe 17;;H. Enders ;NA;Mietshaus;1901-02;Nach 1995
9020400;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Danckelmannstraﬂe 18;;Johann Krenz ;NA;Mietshaus, L‰den;1894-95;Nach 1995
9020401;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Danckelmannstraﬂe 19;;NA;NA;Mietshaus, L‰den;1893-94;Nach 1995
9020402;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Danckelmannstraﬂe 20;;Ludwig Gieseler und Albert Schubert (?) ;NA;Mietshaus, L‰den;1901-02;Nach 1995
9020403;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Danckelmannstraﬂe 42;;Alfred Schrobsdorff ;NA;Mietshaus, L‰den;1892-93;Nach 1995
9020404;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Danckelmannstraﬂe 43;;H. Wachtel ;NA;Mietshaus, L‰den;1892-93;Nach 1995
9020405;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Danckelmannstraﬂe 44;;Ernst Teichmann ;NA;Mietshaus, L‰den;1893-95;Nach 1995
9020406;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Danckelmannstraﬂe 45;;Robert Schubert ;NA;Mietshaus, L‰den;1893-95;Nach 1995
9020407;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Danckelmannstraﬂe 48;;G. Eichner ;NA;Mietshaus, L‰den;1893;Nach 1995
9020408;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Danckelmannstraﬂe 49;;W. Raubert ;NA;Mietshaus, L‰den;1892-95;Nach 1995
9020409;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Danckelmannstraﬂe 50;;Alfred Schrobsdorff ;NA;Mietshaus, L‰den;1890-91;Nach 1995
9020410;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Danckelmannstraﬂe 51 / Seelingstraﬂe 39;;Berthold H‰usler; Umbau 1980 ;Mietshaus, L‰den;1886-87 und 1980;Nach 1995
9020411;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Knobelsdorffstraﬂe 17;;Herrmann G¸nther ;NA;Mietshaus, L‰den;1892-93;Nach 1995
9020412;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Knobelsdorffstraﬂe 18;;Wilhelm Laegel ;NA;Mietshaus, L‰den;1891;Nach 1995
9020413;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Knobelsdorffstraﬂe 19/21;;Wilhelm Klopsch ;NA;Mietshaus;1892-94;Nach 1995
9020414;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Knobelsdorffstraﬂe 20;;Freier; Eugen & Geiseler ;Mietshaus, L‰den;1892-93;Nach 1995
9020415;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Knobelsdorffstraﬂe 22;;C. Helbig ;NA;Mietshaus, L‰den;1900-01;Nach 1995
9020416;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Knobelsdorffstraﬂe 24;;Friedrich Karsch & Co. ;NA;Mietshaus, L‰den;1904-06;Nach 1995
9020417;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Knobelsdorffstraﬂe 26;;Paul Beer und G. Ebel ;NA;Mietshaus, L‰den;1888-90;Nach 1995
9020418;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Knobelsdorffstraﬂe 28;;C. Friedrichs ;NA;Mietshaus, L‰den;1886-87;Nach 1995
9020419;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Knobelsdorffstraﬂe 30;;Hermann G¸nther ;NA;Mietshaus, L‰den;1894-95;Nach 1995
9020420;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Knobelsdorffstraﬂe 32;;Oscar Grunow ;NA;Mietshaus, L‰den;1899-1900;Nach 1995
9020421;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Knobelsdorffstraﬂe 34;;C. Lindemann ;NA;Mietshaus, Lokal;1891-92;Nach 1995
9020422;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Knobelsdorffstraﬂe 38 / Danckelmannstraﬂe;;A. Laegel ;NA;Mietshaus, L‰den;1888-89;Nach 1995
9020423;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Knobelsdorffstraﬂe 40;;A. Laegel ;NA;Mietshaus, L‰den;1890-91;Nach 1995
9020424;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Knobelsdorffstraﬂe 42;;C. Johl ;NA;Mietshaus;1873-74;Nach 1995
9020425;CHA-WIL/CHARL-E;Charlottenburg-Wilmersdorf;Ensemble;Weiterer Bestandteil;Knobelsdorffstraﬂe 44;;Hans Frank ;NA;Mietshaus;1906-07;Nach 1995
